@relation wednesday
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% ..\darpa\wednesday.pcapng
172.16.114.148,9751,152.163.214.11,80,6,0.021169066429138184,FSPA,5,4,502,486,252.97217748988245,206.88858471138076,25398.4066199842,25136.963042432762,1.25,1.0329218106995885,46,100.4,318,108.8,46,121.5,348,130.76983597145025,0.0007729530334472656,0.0049412548542022705,0.012758016586303711,0.004657038431844638,0.0001360177993774414,0.006444692611694336,0.01321709156036377,0.00535038333461994,1,0,1,0,?
172.16.116.44,5617,199.94.100.2,80,6,0.08900201320648193,FSPA,11,32,696,41055,124.24605582238308,364.79692980489205,7861.386804761693,468023.0610356201,0.34375,0.016952868103763244,46,63.27272727272727,236,54.62115958472655,46,1282.96875,1500,506.9462178312779,0.0005609989166259766,0.008853399753570556,0.031401991844177246,0.008506010261006834,9.40561294555664e-05,0.0028296785969888012,0.014935970306396484,0.003293280789371524,1,0,2,0,?
172.16.116.44,12394,205.130.133.2,80,6,0.04731595516204834,FSPA,7,11,511,11450,150.85912768247786,239.77166852023157,11012.716320820884,249580.50950515014,0.6363636363636364,0.04462882096069869,46,73.0,235,66.1362230551458,46,1040.909090909091,1500,639.4090246676585,0.00045096874237060547,0.007733484109242757,0.02771294116973877,0.009557716804776352,9.799003601074219e-05,0.004587697982788086,0.017151951789855957,0.005626281240401379,1,0,1,0,?
172.16.114.169,17119,208.134.241.210,80,6,0.05823695659637451,FSPA,6,7,549,3385,105.76986508636995,124.03443038830297,9677.942655402849,59979.50669491508,0.8571428571428571,0.1621861152141802,46,91.5,319,101.74109297624044,46,483.57142857142856,1500,644.9779303295926,0.00023102760314941406,0.011345386505126953,0.051518917083740234,0.02010173720728395,9.202957153320312e-05,0.009405990441640219,0.02545297145843506,0.009250079106576959,1,0,1,0,?
172.16.117.111,27819,199.95.74.90,80,6,0.07523894309997559,FSPA,8,15,618,15828,106.99772161626534,203.72698482601402,8265.573994856497,214972.71438841,0.5333333333333333,0.03904473085670963,46,77.25,296,82.67972847076845,46,1055.2,1500,644.0235192392691,0.001073002815246582,0.010681135313851493,0.04574692249298096,0.014747393758350323,0.00010192394256591797,0.005259139197213309,0.024785995483398438,0.006879577668236611,1,0,2,0,?
172.16.116.44,22588,204.162.28.111,80,6,0.03459298610687256,FSPA,6,7,419,5738,178.72565994588336,212.86946938745916,12481.008586220856,174492.1450493201,0.8571428571428571,0.07302195887068665,46,69.83333333333333,189,53.292953463744986,46,819.7142857142857,1500,682.7284995381639,0.0005120038986206055,0.0067142009735107425,0.025146007537841797,0.009365788469836735,0.00010502338409423828,0.005480666955312093,0.016501903533935547,0.006153686494608355,1,0,1,0,?
172.16.114.169,8338,205.147.5.20,80,6,0.048869967460632324,FSPA,8,14,581,15177,167.89430310550927,294.2537877743897,12193.32376303761,318992.1240751366,0.5714285714285714,0.03828161033142255,46,72.625,259,70.44312865709472,46,1084.0714285714287,1500,656.5364166034742,0.0005630254745483398,0.006807003702436175,0.020584940910339355,0.00677573275952374,0.0002779960632324219,0.003659844398498535,0.012847065925598145,0.0034695197172125176,1,0,1,0,?
172.16.114.50,1207,195.73.151.50,25,6,1.3166439533233643,FSPA,14,12,1486,835,10.634169327762974,9.116096011643878,1128.7411157896986,634.3283474768865,1.1666666666666667,1.7796407185628742,46,106.14285714285714,788,189.47704615706928,46,69.58333333333333,124,22.98353879531078,0.0005179643630981445,0.10127007044278659,1.2055020332336426,0.31892156910232833,0.0003790855407714844,0.11966845122250644,1.219443917274475,0.34826317610957186,8,0,8,0,?
192.168.1.20,1127,192.168.1.10,53,17,0.00024008750915527344,N/A,1,1,74,106,0.0,0.0,0.0,0.0,1.0,0.6981132075471698,74,74.0,74,0.0,106,106.0,106,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
